Van O
eerdere O
functies O
is O
dit O
een O
goede O
plek B-TARGET
geweest, O
maar O
niet O
meer. O

Wij, O
er O
waren O
vier O
van O
ons, O
kwamen O
op O
midderdag O
aan O
- O
de O
plek O
was O
leeg O
- O
en O
de O
staf B-TARGET
deed O
alsof O
we O
ze O
ophielden O
en O
ze O
waren O
erg O
rude. O

Ze O
brachten O
ons O
nooit O
complimentaire O
noodles, O
negeerden O
herhaalde O
verzoeken O
naar O
suiker O
en O
gooiden O
onze O
gerechten O
op O
tafel. O

Het O
eten B-TARGET
was O
slecht O
- O
te O
zoet O
of O
te O
zout O
en O
de O
porties B-TARGET
klein. O

Na O
al O
dat O
klaagden O
ze O
tegen O
me O
over O
de O
kleine O
tip. O

Vermijden O
jullie O
deze O
plek! B-TARGET

Ik O
heb O
bij O
Saul O
vaak O
gegeten, O
het O
eten B-TARGET
is O
altijd O
consistent, O
verschrikkelijk O
goed. O

Saul B-TARGET
is O
het O
beste O
restaurant O
op O
Smith O
Street O
en O
in O
Brooklyn. O

De O
duck B-TARGET
confit I-TARGET
is O
altijd O
verbazingwekkend O
en O
de O
foie B-TARGET
gras I-TARGET
terrine I-TARGET
met I-TARGET
figs I-TARGET
was O
uit O
deze O
wereld. O

De O
wijnlijst B-TARGET
is O
interessant O
en O
heeft O
vele O
goede O
waarden. O

Voor O
de O
prijs O
kun O
je O
niet O
zo O
goed O
eten O
in O
Manhattan. O

Ik O
was O
erg O
teleurgesteld O
met O
dit O
restaurant. B-TARGET

Ik O
vroeg O
een O
kar B-TARGET
attendant I-TARGET
om O
een O
rijst O
van O
een O
lotusblad O
en O
ze O
antwoordde: O
rijst O
en O
ging O
gewoon O
weg. O

Ik O
moest O
haar O
drie O
keer O
vragen O
voordat O
ze O
uiteindelijk O
terugkwam O
met O
het O
gerecht O
dat O
ik O
had O
gevraagd. O

Het O
eten B-TARGET
was O
oké, O
niets O
geweldigs. O

Chow B-TARGET
fun I-TARGET
was O
droog; O
varkenschu B-TARGET
mai I-TARGET
was O
meer O
dan O
gewoonlijk O
vetig O
en O
moest O
een O
tafel O
delen O
met O
een O
luide O
en O
rude O
familie. O

Ik/we O
gaan O
nooit O
meer O
terug O
naar O
deze O
plek. B-TARGET

Ik O
ging O
op O
een O
3 O
dagen O
oester-boog, O
met O
Fish B-TARGET
die O
de O
afsluiting O
opbracht, O
en O
ik O
ben O
zo O
blij O
dat O
dit O
de O
plek O
was O
waar O
de O
O-trip O
eindigde, O
omdat O
het O
zo O
geweldig O
was! O

De O
dienst B-TARGET
was O
devine, O
oesters B-TARGET
waar O
een O
sensueel O
als O
ze O
kwamen, O
en O
de O
prijs O
kan O
niet O
worden O
geslagen!!! O

Je O
kunt O
hier O
niet O
verkeerd O
gaan. O

Elke O
keer O
in O
New O
York O
maak O
ik O
het O
een O
punt O
om O
het O
Restaurant B-TARGET
Saul I-TARGET
op O
Smith O
Street O
te O
bezoeken. O

Alles O
is O
altijd O
perfect O
gekookt, O
de O
dienst B-TARGET
is O
geweldig, O
het O
decor B-TARGET
cool O
en O
onderschat. O

Op O
mijn O
laatste O
bezoek O
kreeg O
ik O
de O
duck B-TARGET
borst I-TARGET
speciaal I-TARGET
en O
het O
was O
ongelooflijk. O

Ik O
kan O
niet O
wachten O
op O
mijn O
volgende O
bezoek. O

Ik O
keek O
hiernaar O
en O
beloofde O
mezelf O
dat O
ik O
ooit O
'het O
zou O
proberen'. O

Ik O
haat O
dit O
te O
zeggen, O
maar O
ik O
twijfel O
dat O
ik O
ooit O
terugga. O

Het O
eten B-TARGET
is O
heel O
gemiddeld... O
de O
Thaise B-TARGET
fusion I-TARGET
is O
een O
beetje O
te O
zoet, O
alles O
wat O
ze O
serveren O
is O
te O
zoet O
hier. O

Het O
enige O
wat O
ik O
min O
of O
meer O
genot O
heb, O
was O
hun O
Grilled B-TARGET
Chicken I-TARGET
Special I-TARGET
met I-TARGET
Edamame I-TARGET
Puree. I-TARGET

Ik O
had O
Edamame B-TARGET
nog O
nooit O
gereinigd, O
maar O
ik O
dacht O
dat O
het O
innovatief O
en O
lekker O
was O
(ik O
had O
een O
beetje O
meer O
zout O
kunnen O
gebruiken). O

Hoe O
dan O
ook, O
als O
je O
in O
de O
buurt O
bent O
om O
goed O
te O
eten, O
zou O
ik O
mijn O
tijd O
niet O
verspillen O
om O
iets O
te O
vinden, O
maar O
eerder O
over O
de O
straat O
naar O
Tamari O
gaan. O

Het O
decor B-TARGET
is's O
nachts, O
maar O
ze O
moeten O
echt O
die O
bron B-TARGET
in O
de O
plafond O
schoonmaken... O
het O
is O
nogal O
on-appetizing, O
en O
doe O
je O
moeite O
om O
deze O
plek B-TARGET
elegant O
en O
modern O
te O
maken. O

We O
aten O
buiten O
bij O
Haru's O
Sake O
bar O
omdat O
Haru's O
restaurant O
naast O
ons O
overvol O
was. O

Wat O
is O
het O
verschil O
tussen O
de O
twee? O

Hun O
sakelijst B-TARGET
was O
uitgebreid, O
maar O
we O
zochten O
Purple O
Haze, O
die O
niet O
op O
de O
lijst O
stond, O
maar O
op O
verzoek O
voor O
ons O
gemaakt O
was! O

De O
spicieuze B-TARGET
tonijnrolle I-TARGET
was O
ongewoon O
goed O
en O
de O
rotskreeft B-TARGET
tempura I-TARGET
was O
geweldig, O
een O
geweldige O
appetizer O
om O
te O
delen! O

We O
gingen O
rond O
9:30 O
op O
een O
vrijdag O
en O
het O
was O
toen O
een O
beetje O
achteruit O
gegaan, O
dus O
de O
dienst B-TARGET
was O
geweldig! O

We O
houden O
van O
die O
roze B-TARGET
pony. I-TARGET

Dit O
perfecte O
spot. B-TARGET

Voedsel B-TARGET
- O
geweldig. O

Service B-TARGET
- O
vriendelijk O
en O
aandachtig. O

Gemoed B-TARGET
- O
ontspannend O
en O
stylish. O

Beoordelen O
deze O
plaats B-TARGET
prima O
facie O
niet, O
je O
moet O
ze O
proberen O
te O
geloven, O
een O
huis O
ver O
van O
huis O
voor O
het O
geletterde O
hart. O

Ik O
heb O
hier O
een O
handvol O
keer O
gegeten, O
om O
geen O
enkele O
reden, O
behalve O
voor O
gemak. O

(Ik O
hang O
en O
woon O
in O
de O
buurt..) O

Het O
eten B-TARGET
is O
goed. O

Maar O
het O
is O
de O
dienst B-TARGET
die O
een O
slechte O
smaak O
achterlaat O
in O
mijn O
mond. O

Ik O
heb O
een O
beleid O
dat O
samengaat O
met O
een O
beetje O
zelfrespect, O
dat O
me O
niet O
laat O
intimideren O
door O
een O
serveer, B-TARGET
dat O
wil O
zeggen O
dat O
ik O
me O
slecht O
voel O
als O
ik O
vraag O
naar O
triviale O
dingen O
zoals O
water O
of O
de O
cheque. O

Ik O
weet, O
je O
was O
te O
druk O
met O
je O
vintage O
T-shirt O
en O
je O
zag O
er O
saai O
uit, O
maar O
mijn O
agenda O
is O
dat O
ik O
hier O
ben O
om O
te O
eten O
en O
te O
genieten O
van O
de O
vrienden, O
op O
zoek O
naar O
een O
plezierige O
ervaring. O

Ik O
vond O
het O
daar O
niet, O
en O
geloof O
me, O
ik O
heb O
iedereen O
verteld O
over O
mijn O
ervaring. O

De O
laatste O
keer O
dat O
ik O
langs O
liep, O
zag O
het O
er O
vrij O
leeg O
uit. O

Dit O
moet O
het O
beste O
Japanse O
restaurant O
in O
New O
York O
zijn. O

Ik O
had O
een O
geweldige O
ervaring. O

Het O
eten B-TARGET
is O
geweldig. O

De O
dienst B-TARGET
is O
top-notch. O

Ik O
ben O
weer O
en O
weer O
terug O
gegaan. O

Ik O
judgeer O
een O
sushi-restaurant O
meestal O
door O
zijn O
zeeoorchin, B-TARGET
wat O
bij O
sushiroos O
prachtig O
was. O

Het O
smelt O
in O
mijn O
kleine O
mond O
en O
de O
perfecte O
samenhang O
- O
niet O
te O
visig, O
creamig O
en O
een O
beetje O
beetig. O

De O
sushi B-TARGET
leek O
vrij O
fris O
en O
was O
goed O
proportioneerd. O

De O
rijst-vis-ration B-TARGET
was O
ook O
goed O
- O
ze O
probeerden O
de O
rijst O
niet O
te O
overpakken. O

We O
maakten O
gebruik O
van O
de O
halve-prijze B-TARGET
sushi I-TARGET
deal I-TARGET
op O
zaterdag, O
dus O
het O
was O
goed O
waard. O

