Op O
basis O
van O
eerdere O
berichten O
was O
dit O
vroeger O
een O
goede O
plek, B-TARGET
maar O
niet O
meer. O

Wij, O
er O
waren O
vier O
van O
ons, O
kwamen O
om O
middernacht O
aan O
- O
de O
plaats O
was O
leeg O
- O
en O
het O
personeel B-TARGET
handelde O
alsof O
we O
hen O
opdringen O
en O
ze O
waren O
erg O
onbeleefd. O

Ze O
brachten O
ons O
nooit O
gratis O
noodles, O
negeerden O
herhaalde O
verzoeken O
om O
suiker O
en O
gooiden O
onze O
gerechten O
op O
de O
tafel. O

Het O
eten B-TARGET
was O
lelijk O
- O
te O
zoet O
of O
te O
zout O
en O
de O
porties B-TARGET
klein. O

Na O
alles O
klagen O
ze O
tegen O
me O
over O
de O
kleine O
tip. O

Vermijd O
deze O
plek! B-TARGET

Ik O
heb O
bij O
Saul O
vele O
malen O
gegeten, O
het O
eten B-TARGET
is O
altijd O
consequent, O
ontzagwekkend O
goed. O

Saul B-TARGET
is O
het O
beste O
restaurant O
op O
Smith O
Street O
en O
in O
Brooklyn. O

De O
duck B-TARGET
confit I-TARGET
is O
altijd O
geweldig O
en O
de O
foie B-TARGET
gras I-TARGET
terrine I-TARGET
met I-TARGET
vijgen I-TARGET
was O
uit O
deze O
wereld. O

De O
wijnlijst B-TARGET
is O
interessant O
en O
heeft O
veel O
goede O
waarden. O

Voor O
de O
prijs O
kun O
je O
dit O
niet O
goed O
eten O
in O
Manhattan. O

Ik O
was O
erg O
teleurgesteld O
in O
dit O
restaurant. B-TARGET

Ive O
vroeg O
een O
wagenmedewerker B-TARGET
voor O
een O
lotusblad O
gewikkeld O
rijst O
en O
ze O
antwoordde O
terug O
rijst O
en O
liep O
gewoon O
weg. O

Ik O
moest O
haar O
drie O
keer O
vragen O
voordat O
ze O
eindelijk O
terugkwam O
met O
het O
gerecht O
dat O
ik O
had O
gevraagd. O

Het O
eten B-TARGET
was O
prima, O
niets O
geweldigs. O

Chow B-TARGET
fun I-TARGET
was O
droog; O
varken B-TARGET
shu I-TARGET
mai I-TARGET
was O
meer O
dan O
gewoonlijk O
vettig O
en O
moest O
een O
tafel O
delen O
met O
luide O
en O
rude O
familie. O

Ik O
/ O
we O
zullen O
nooit O
meer O
terug O
naar O
deze O
plaats. B-TARGET

Ging O
op O
een O
3-daagse O
oester O
binge, O
met O
Fish B-TARGET
brengt O
de O
sluiting, O
en O
ik O
ben O
zo O
blij O
dit O
was O
waar O
het O
O O
reis O
eindigde, O
omdat O
het O
zo O
geweldig O
was! O

Service B-TARGET
was O
raar, O
oesters B-TARGET
waar O
een O
sensueel O
als O
ze O
komen, O
en O
de O
prijs O
kan O
niet O
worden O
verslagen!!! O

Je O
kunt O
hier O
niet O
verkeerd O
gaan. O

Elke O
keer O
dat O
ik O
in O
New O
York O
ben, O
maak O
ik O
het O
een O
punt O
om O
Restaurant B-TARGET
Saul I-TARGET
op O
Smith O
Street O
te O
bezoeken. O

Alles O
wordt O
altijd O
tot O
perfectie O
gekookt, O
de O
service B-TARGET
is O
uitstekend, O
het O
decor B-TARGET
koel O
en O
onderschat. O

Ik O
had O
de O
eend B-TARGET
borst I-TARGET
speciaal I-TARGET
op O
mijn O
laatste O
bezoek O
en O
het O
was O
ongelooflijk. O

Ik O
kan O
niet O
wachten O
tot O
mijn O
volgende O
bezoek. O

Ik O
had O
mijn O
ogen O
op O
deze O
plek O
en O
beloofde O
mezelf O
dat O
ik O
het O
op O
een O
dag O
'een O
keer O
zou O
proberen'. O

En O
ik O
haat O
het O
om O
dit O
te O
zeggen, O
maar O
ik O
twijfel O
dat O
ik O
ooit O
zal O
terugkeren. O

Het O
eten B-TARGET
is O
heel O
gemiddeld... O
de O
Thaise B-TARGET
fusie I-TARGET
is O
een O
beetje O
te O
zoet, O
alles O
wat O
ze O
serveren O
is O
hier O
te O
zoet. O

Het O
enige O
wat O
ik O
matig O
genoten O
was O
hun O
Grilled B-TARGET
Chicken I-TARGET
special I-TARGET
met I-TARGET
Edamame I-TARGET
Puree. I-TARGET

Ik O
had O
nog O
nooit O
Edamame B-TARGET
gepureerd, I-TARGET
maar O
ik O
dacht O
dat O
het O
innovatief O
en O
smakelijk O
was O
(ik O
had O
een O
beetje O
meer O
zout O
kunnen O
gebruiken). O

Hoe O
dan O
ook, O
als O
je O
in O
de O
buurt O
bent O
om O
goed O
eten O
te O
eten, O
zou O
ik O
mijn O
tijd O
niet O
verspillen O
om O
iets O
te O
vinden, O
maar O
liever O
de O
straat O
over O
naar O
Tamari. O

De O
inrichting B-TARGET
is O
nacht O
tho... O
maar O
ze O
echt O
nodig O
hebben O
om O
te O
reinigen O
die O
wind B-TARGET
in O
het O
plafond... O
het O
is O
heel O
ongemakkelijk, O
en O
doodt O
uw O
inspanning O
om O
deze O
plek B-TARGET
er O
stijlvol O
en O
modern O
uitzien. O

We O
aten O
buiten O
bij O
Haru's O
Sake O
bar O
omdat O
Haru's O
restaurant O
naast O
de O
deur O
overstroomd O
was. O

Wat O
is O
het O
verschil O
tussen O
de O
twee? O

Hun O
sake B-TARGET
lijst I-TARGET
was O
uitgebreid, O
maar O
we O
waren O
op O
zoek O
naar O
Purple O
Haze, O
die O
niet O
werd O
vermeld, O
maar O
gemaakt O
voor O
ons O
op O
verzoek! O

De O
pittige B-TARGET
tonijnrol I-TARGET
was O
ongewoon O
goed O
en O
de O
rotshammer B-TARGET
tempura I-TARGET
was O
geweldig, O
geweldige O
appetizer O
om O
te O
delen! O

We O
gingen O
rond O
9:30 O
op O
een O
vrijdag O
en O
het O
was O
een O
beetje O
dood O
door O
toen O
dus O
de O
service B-TARGET
was O
geweldig! O

We O
houden O
van O
de O
Pink B-TARGET
Pony. I-TARGET

De O
perfecte O
spot. B-TARGET

Voedsel B-TARGET
- O
heerlijk O

Service B-TARGET
- O
vriendelijk O
en O
attent. O

Atmosfeer B-TARGET
- O
ontspannen O
en O
stijlvol. O

Beoordeel O
deze O
plek B-TARGET
niet O
prima O
facie, O
je O
moet O
het O
proberen O
om O
het O
te O
geloven, O
een O
thuis O
weg O
van O
huis O
voor O
het O
geletterde O
hart. O

Ik O
heb O
hier O
een O
handvol O
keer O
gegeten, O
om O
geen O
andere O
reden O
dan O
puur O
gemak. O

(Ik O
hang O
uit O
en O
woon O
in O
de O
buurt.) O

Het O
eten B-TARGET
is O
fatsoenlijk. O

Maar O
het O
is O
de O
service B-TARGET
die O
een O
slechte O
smaak O
in O
mijn O
mond O
laat. O

Ik O
heb O
een O
beleid O
dat O
gaat O
gepaard O
met O
een O
beetje O
zelfrespect, O
dat O
omvat O
het O
niet O
toestaan O
dat O
een O
serveerster B-TARGET
me O
intimideert, O
dat O
wil O
zeggen O
dat O
ik O
me O
slecht O
voel O
bij O
het O
vragen O
om O
trivialiteiten O
zoals O
water O
of O
de O
cheque. O

ik O
weet, O
je O
was O
te O
druk O
om O
je O
vintage O
tee-shirt O
te O
laten O
zien O
en O
er O
saai O
uit O
te O
zien, O
maar O
mijn O
agenda O
is O
dat O
ik O
hier O
ben O
om O
te O
eten O
en O
te O
genieten O
van O
het O
gezelschap O
van O
vrienden, O
op O
zoek O
naar O
een O
aangename O
ervaring. O

Nou, O
ik O
vond O
het O
daar O
niet, O
en O
vertrouw O
me, O
ik O
heb O
iedereen O
verteld O
dat O
ik O
kan O
nadenken O
over O
mijn O
ervaring. O

De O
laatste O
keer O
dat O
ik O
er O
langs O
liep, O
leek O
het O
erg O
leeg. O

Deze O
plek B-TARGET
moet O
het O
beste O
Japanse O
restaurant O
in O
de O
buurt O
van O
New O
York O
zijn. O

Ik O
had O
een O
geweldige O
ervaring. O

Het O
eten B-TARGET
is O
geweldig. O

Service B-TARGET
is O
top O
notch. O

Ik O
ben O
keer O
op O
keer O
teruggekeerd. O

Ik O
heb O
de O
neiging O
om O
een O
sushi O
restaurant O
te O
beoordelen O
door O
zijn O
zee B-TARGET
urchin, I-TARGET
die O
hemelse O
was O
op O
sushi O
roos. O

Het O
smeltte O
in O
mijn O
kleine O
mond O
en O
de O
perfecte O
consistentie O
- O
niet O
te O
visachtig, O
cremig O
en O
licht O
boterig. O

De O
sushi B-TARGET
leek O
vrij O
vers O
en O
was O
adequaat O
geproportioneerd. O

De O
rijst B-TARGET
naar I-TARGET
vis I-TARGET
was O
ook O
goed O
- O
ze O
probeerden O
de O
rijst O
niet O
te O
overpakken. O

We O
namen O
de O
halve B-TARGET
prijs I-TARGET
sushi I-TARGET
deal I-TARGET
op O
zaterdag, O
dus O
het O
was O
de O
moeite O
waard. O

Ik O
ging O
naar O
dit O
restaurant O
met O
een O
vrouw O
die O
ik O
onlangs O
heb O
ontmoet. O

Ze O
woont O
in O
de O
buurt, O
maar O
had O
nooit O
naar O
deze O
vestiging O
gegaan, O
dacht O
dat O
het O
misschien O
te O
toeristisch O
was. O

Verrassend O
genoeg O
kan O
niets O
verder O
van O
de O
waarheid O
zijn. O

In O
de O
avond O
trok O
deze O
plek O
een O
goed O
gekleed, O
met O
het, O
NY O
menigte. B-TARGET

Het O
eten B-TARGET
was O
goed O
voorbereid O
en O
de O
service B-TARGET
onberispelijk. O

Ik O
ga O
terug. O

Na O
op O
zoek O
te O
zijn O
naar O
een O
rustig, O
romantisch, O
maar O
niet O
verschrikkelijk O
duur O
restaurant O
struikelde O
ik O
over O
beoordelingen O
voor O
La O
Lanterna O
en O
gaf O
het O
een O
shot. O

Het O
is O
gewoon O
alsof O
je O
uit O
Manhattan O
stapt O
en O
in O
een O
haven O
van O
rust O
terechtkomt. O

De O
service O
was O
attent, O
maar O
onopvallend, O
het O
eten O
was O
veel O
beter O
dan O
veel O
beruchte O
restaurants O
in O
Midtown O
en O
de O
wijnlijst O
is O
uitgebreid O
en O
goed O
geprijsd. O

Het O
Prix B-TARGET
Fixe-menu I-TARGET
is O
elke O
cent O
waard O
en O
je O
krijgt O
meer O
dan O
genoeg O
(zowel O
in O
kwantiteit O
als O
kwaliteit). O

Ik O
zal O
terugkeren O
en O
het O
van O
harte O
aanbevelen! O

Ik O
heb O
het O
lunchbuffet O
in O
Chennai O
een O
paar O
keer O
gehad, O
toen O
ik O
in O
de O
buurt O
was. O

Het O
is O
geweldig, O
net O
als O
de O
waarde. O

$ O
6 O
en O
er O
is O
veel O
lekker O
eten, B-TARGET
het O
is O
allemaal O
vers O
en O
voortdurend O
aangevuld. O

Ik O
ben O
geen O
vegetariër, O
maar O
bijna O
alle O
gerechten B-TARGET
waren O
geweldig. O

Eerlijk O
gezegd, O
als O
je O
vergelijkt O
wat O
je O
hier O
kunt O
hebben O
voor O
de O
lunch, O
versus O
McDs O
of O
zoveel O
andere O
sandwichwinkels O
in O
de O
stad, O
is O
er O
geen O
vergelijking. O

Wees O
hongerig O
en O
geniet. O

Het O
eten B-TARGET
hier O
is O
vrij O
goed, O
maar O
alleen O
als O
je O
wilt O
wachten O
op O
het. O

Ik O
houd O
van O
de O
somosas, B-TARGET
chai, B-TARGET
en O
de O
chole, B-TARGET
maar O
de O
dhosas B-TARGET
en O
dhal B-TARGET
waren O
enigszins O
ontmoedigend. O

De O
service B-TARGET
varieert O
van O
dag O
tot O
dag O
- O
soms O
zijn O
ze O
erg O
leuk, O
en O
soms O
niet. O

De O
keuken B-TARGET
is O
bijna O
altijd O
traag. O

Specificeer O
ook O
als O
je O
van O
je O
