Судя O
по O
предыдущим O
постам, O
это O
было O
хорошим O
местом, B-TARGET
но O
не O
больше. O

Мы, O
четверо O
из O
нас, O
прибыли O
в O
полдень, O
место O
было O
пустым, O
и O
персонал B-TARGET
вел O
себя O
так, O
будто O
мы O
навязали O
им, O
и O
они O
были O
очень O
грубы. O

Они O
никогда O
не O
приносили O
нам O
лапшу, O
игнорировали O
неоднократные O
просьбы O
о O
сахаре O
и O
бросали O
наши O
тарелки O
на O
стол. O

Еда B-TARGET
была O
паршивой O
- O
слишком O
сладкая O
или O
слишком O
соленая, O
и O
части B-TARGET
крошечные. O

После O
всего O
этого, O
они O
пожаловались O
мне O
на O
маленький O
чаевые. O

Избегай O
этого O
места! B-TARGET

Я O
много O
раз O
ел O
у O
Саула, O
еда B-TARGET
всегда O
была O
последовательной, O
возмутительно O
хорошей. O

Сол B-TARGET
- O
лучший O
ресторан O
на O
Смит O
Стрит O
и O
в O
Бруклине. O

Конфигурация B-TARGET
уток I-TARGET
всегда O
потрясающая, O
и O
фуа-гра-террин B-TARGET
с I-TARGET
инжиром I-TARGET
не O
была O
в O
этом O
мире. O

Список B-TARGET
вин I-TARGET
интересен O
и O
имеет O
много O
хороших O
ценностей. O

За O
такую O
цену O
нельзя O
есть O
так O
хорошо O
на O
Манхэттене. O

Я O
был O
очень O
разочарован O
этим O
рестораном. B-TARGET

Я O
попросила O
стюардессу B-TARGET
купить O
рис, O
завернутый O
в O
лотос, O
и O
она O
ответила O
на O
рис O
и O
просто O
ушла. O

Мне O
пришлось O
спросить O
ее O
три O
раза, O
прежде O
чем O
она O
наконец O
вернулась O
с O
блюдом, O
которое O
просил O
Айв. O

Еда B-TARGET
была O
в O
порядке, O
ничего O
хорошего. O

Чау B-TARGET
был O
сухим; O
свинина B-TARGET
шей I-TARGET
Маи I-TARGET
была O
более, O
чем O
обычно, O
жирной O
и O
ей O
приходилось O
делить O
стол O
с O
громкой O
и O
грубой O
семьей. O

Я/мы O
никогда O
больше O
не O
вернемся O
в O
это O
место. B-TARGET

Пошёл O
на O
3 O
дня O
в O
устрицу, O
с O
рыбой, B-TARGET
поднимающей O
конец, O
и O
я O
так O
рада, O
что O
это O
было O
то O
место, O
где O
О O
путешествие O
закончилось, O
потому O
что O
это O
было O
так O
здорово! O

Служение B-TARGET
было O
бесчестным, O
устрицы, B-TARGET
где O
чувственные, O
когда O
они O
приходят, O
и O
цена O
не O
может O
быть O
побеждена!!!!!! O

Здесь O
нельзя O
ошибаться. O

Каждый O
раз O
в O
Нью-Йорке O
я O
навещаю O
Ресторана B-TARGET
Сола I-TARGET
на O
Смит-стрит. O

Все O
всегда O
приготовлено O
к O
совершенству, O
служба B-TARGET
прекрасна, O
декор B-TARGET
прохладна O
и O
недооценена. O

Во O
время O
моего O
последнего O
визита O
утка O
была O
особенная B-TARGET
грудь, I-TARGET
и O
это O
было O
потрясающе. O

Не O
могу O
дождаться O
моего O
следующего O
визита. O

Я O
видел O
это O
место, O
пообещав O
себе, O
что O
однажды O
попробую. O

И O
я O
ненавижу O
говорить O
это, O
но O
сомневаюсь, O
что O
когда-нибудь O
вернусь. O

Еда B-TARGET
очень O
средняя... O
тайский B-TARGET
синтез I-TARGET
слишком O
сладкий, O
все, O
что O
они O
подают, O
слишком O
сладкий O
здесь. O

Единственное, O
что O
мне O
понравилось, O
это O
их O
специализация B-TARGET
с I-TARGET
Эдамаме I-TARGET
Пьюри. I-TARGET

Раньше O
я O
никогда O
не O
очищала B-TARGET
Эдамаме, I-TARGET
но O
я O
думала, O
что O
он O
новаторский O
и O
вкусный O
(могла O
бы O
использовать O
немного O
больше O
соли). O

В O
любом O
случае, O
если O
бы O
ты O
был O
по O
соседству, O
чтобы O
хорошо O
питаться, O
я O
бы O
не O
стал O
тратить O
свое O
время O
на O
поиски O
чего-то, O
лучше O
пойти O
через O
улицу O
в O
Тамари. O

Декор B-TARGET
- O
это O
ночной O
то... O
но O
им O
действительно O
нужно O
очистить O
вентиляцию B-TARGET
в O
потолке... O
она O
довольно O
неаппетитна, O
и O
убить O
ваши O
усилия O
сделать O
это O
место B-TARGET
слабым O
и O
современным. O

Мы O
ели O
снаружи O
в O
баре O
Хару, O
потому O
что O
в O
соседнем O
ресторане O
Хару O
было O
полно O
народу. O

Какая O
разница O
между O
этими O
двумя? O

Их O
список B-TARGET
саке I-TARGET
был O
обширным, O
но O
мы O
искали O
Пурпурный O
Хейз, O
который O
не O
был O
включен O
в O
список, O
но O
был O
