Судя O
по O
предыдущим O
постам, O
это O
было O
хорошим O
местом, B-TARGET
но O
не O
больше. O

Мы, O
четверо O
из O
нас, O
прибыли O
в O
полдень O
- O
место O
было O
пустое O
- O
и O
сотрудники B-TARGET
действовали O
так, O
как O
мы O
им O
навязываем, O
и O
они O
были O
очень O
грубы. O

Они O
никогда O
не O
приносят O
нам O
бесплатные O
noodles, O
игнорируют O
повторяющиеся O
запросы O
на O
сахар, O
и O
бросают O
наши O
блюда O
на O
стол. O

Питание B-TARGET
было O
плохим O
- O
слишком O
сладким O
или O
слишком O
солёным, O
а O
порции B-TARGET
небольшие. O

После O
всего O
этого, O
они O
жаловались O
на O
меня O
о O
маленькой O
подсказке. O

Избегайте O
этого O
места! B-TARGET

Я O
ел O
у O
Саула, O
много O
раз, O
питание B-TARGET
всегда O
последовательно, O
ужасно O
хорошо. O

Saul B-TARGET
является O
лучшим O
рестораном O
на O
Смит-стрит O
и O
в O
Бруклине. O

Конкрет B-TARGET
курицы I-TARGET
всегда O
удивительно, O
а O
террин B-TARGET
foie I-TARGET
gras I-TARGET
с I-TARGET
фишками I-TARGET
был O
из O
этого O
мира. O

Список B-TARGET
вина I-TARGET
интересен O
и O
имеет O
много O
хороших O
ценностей. O

По O
цене, O
вы O
не O
можете O
есть O
это O
хорошо O
в O
Манхэттене. O

Я O
был O
очень O
разочарован O
в O
этом O
ресторане. B-TARGET

Я O
попросила O
водителя B-TARGET
вагона I-TARGET
за O
листом O
лотоса, O
обгорнутым O
рисом, O
и O
она O
ответила O
обратно O
рисом O
и O
просто O
ушла. O

Я O
должен O
был O
спросить O
ее O
три O
раза, O
прежде O
чем O
она O
наконец O
вернулся O
с O
блюдом, O
который O
я O
попросил. O

Еда B-TARGET
была O
в O
порядке, O
ничего O
не O
было O
хорошо. O

Ужин B-TARGET
был O
сухим; O
свининая B-TARGET
шу-май I-TARGET
была O
более O
жирной, O
чем O
обычно, O
и O
пришлось O
поделиться O
столом O
с O
громкой O
и O
грубой O
семьей. O

Я/мы O
никогда O
больше O
не O
вернемся O
в O
это O
место. B-TARGET

Я O
пошел O
на O
3 O
дня O
острицы O
бандж, O
с O
рыбой B-TARGET
поднимает O
закрытие, O
и O
я O
так O
рад, O
что O
это O
было O
место, O
где O
он O
O O
поездка O
закончилась, O
потому O
что O
это O
было O
так O
великолепно! O

Услуга B-TARGET
была O
devine, O
острицы, B-TARGET
где O
чувствительный, O
как O
они O
приходят, O
и O
цена O
не O
может O
быть O
побеждена!!! O

Здесь O
не O
может O
быть O
ничего O
плохого. O

Каждый O
раз O
в O
Нью-Йорке O
я O
делаю O
то, O
чтобы O
посетить O
ресторан B-TARGET
Saul O
на O
Смит-стрит. O

Все O
всегда O
приготовлено O
до O
совершенства, O
обслуживание B-TARGET
отличное, O
декор B-TARGET
холодный O
и O
недооцененный. O

На O
моем O
последнем O
визите O
у O
меня O
была O
специальная B-TARGET
пастушка O
для O
качок, O
и O
это O
было O
невероятно. O

Не O
могу O
ждать O
моего O
следующего O
визита. O

У O
меня O
были O
глаза O
на O
это O
место, O
обещая O
себе, O
что O
одного O
дня O
я O
"попробую". O

И O
я O
ненавижу O
это O
говорить, O
но O
сомневаюсь, O
что O
когда-нибудь O
вернусь. O

Питание B-TARGET
очень O
среднее... O
Таиландский B-TARGET
синтез I-TARGET
вещи I-TARGET
немного O
слишком O
сладкий, O
все, O
что O
они O
подают O
слишком O
сладкий O
здесь. O

Единственная O
вещь, O
которую O
я O
умеренно O
наслаждался O
был O
их O
Grilled B-TARGET
Chicken I-TARGET
специальный I-TARGET
с I-TARGET
Edamame I-TARGET
Puree. I-TARGET

Я O
никогда O
не O
делал O
Эдамэ B-TARGET
очищать I-TARGET
до O
этого, O
но O
я O
думал, O
что O
это O
было O
инновационное O
и O
вкусно O
(было O
бы O
использовать O
немного O
больше O
соли). O

В O
любом O
случае, O
если O
вы O
находитесь O
в O
окрестностях, O
чтобы O
поесть O
хорошую O
пищу, O
я O
бы O
не O
тратила O
время, O
пытаясь O
найти O
что-то, O
а O
идти O
через O
улицу, O
чтобы O
Тамари. O

decor B-TARGET
is O
night O
tho...but O
they O
REALLY O
need O
to O
clean O
that O
vent B-TARGET
in O
the O
ceiling...it O
quite O
un-appetizing, O
and O
kills O
your O
effort O
to O
make O
this O
place B-TARGET
look O
sleek O
and O
modern. O

Мы O
ели O
на O
улице O
в O
баре O
"Саке" O
Хару, O
потому O
что O
ресторан O
Хару O
рядом O
с O
ним O
