Судя O
по O
предыдущим O
сообщениям, O
это O
было O
хорошим O
местом, B-TARGET
но O
уже O
не O
так. O

Мы, O
четверо O
из O
нас, O
прибыли O
в O
полдень O
- O
место O
было O
пустым O
- O
и O
персонал B-TARGET
действовал O
так, O
как O
будто O
мы O
навязывали O
им, O
и O
они O
были O
очень O
грубыми. O

Они O
никогда O
не O
приносили O
нам O
бесплатных O
блюд, O
игнорировали O
повторяющиеся O
просьбы O
о O
сахаре O
и O
бросали O
наши O
блюда O
на O
стол. O

Пища B-TARGET
была O
плохая O
– O
слишком O
сладкая O
или O
слишком O
соленая, O
а O
порции B-TARGET
крошечные. O

В O
конце O
концов, O
они O
жалуются O
на O
меня O
из-за O
маленького O
штриха. O

Избегайте O
этого O
места! B-TARGET

Я O
много O
раз O
ел O
у O
Саула, O
еда B-TARGET
всегда O
последовательна, O
отвратительно O
хороша. O

Саул B-TARGET
– O
лучший O
ресторан O
на O
Смит-стрит O
и O
в O
Бруклине. O

Утка O
конфит B-TARGET
всегда O
удивительна, O
и O
foie B-TARGET
gras I-TARGET
terrine I-TARGET
с I-TARGET
фигами I-TARGET
был O
вне O
этого O
мира. O

Список B-TARGET
вин I-TARGET
интересен O
и O
имеет O
много O
хороших O
ценностей. O

За O
эту O
цену O
вы O
не O
можете O
съесть O
это O
хорошо O
в O
Манхэттене. O

Я O
был O
очень O
разочарован O
этим O
рестораном. B-TARGET

Иве O
попросила O
помощника B-TARGET
в I-TARGET
корзине I-TARGET
за O
лотосным O
листом, O
упакованным O
в O
рис, O
и O
она O
ответила O
рисом O
и O
просто O
ушла. O

Я O
должен O
был O
спросить O
ее O
три O
раза, O
прежде O
чем O
она, O
наконец, O
вернулась O
с O
блюдом, O
который O
я O
попросил. O

Еда B-TARGET
была O
в O
порядке, O
ничего O
хорошего. O

Шоу B-TARGET
весело I-TARGET
было O
сухо; O
свинина B-TARGET
shu I-TARGET
mai I-TARGET
была O
более O
жирной, O
чем O
обычно, O
и O
пришлось O
разделить O
стол O
с O
громкой O
и O
грубой O
семьей. O

Я O
/ O
мы O
никогда O
не O
вернемся O
в O
это O
место B-TARGET
снова. O

Я O
пошел O
на O
3-дневный O
остров, O
с O
рыбками, B-TARGET
приносящими O
закрытие, O
и O
я O
так O
рад, O
что O
это O
было O
место, O
где O
она O
закончилась, O
потому O
что O
это O
было O
так O
здорово! O

Сервис B-TARGET
был O
догадаться, O
устрицы B-TARGET
где O
чувственный, O
как O
они O
приходят, O
и O
цена O
не O
может O
быть O
побежден!!! O

Здесь O
нельзя O
ошибиться. O

Каждый O
раз, O
когда O
я O
приезжаю O
в O
Нью-Йорк, O
я O
делаю O
смысл O
посетить O
ресторан B-TARGET
Saul I-TARGET
на O
Смит-стрит. O

Все O
всегда O
готово O
до O
совершенства, O
сервис B-TARGET
отличный, O
декор B-TARGET
прохладный O
и O
недооцененный. O

У O
меня O
была O
специальная B-TARGET
грудь I-TARGET
утка I-TARGET
на O
моем O
последнем O
визите, O
и O
это O
было O
невероятно. O

Не O
могу O
дождаться O
своего O
следующего O
визита. O

У O
меня O
были O
глаза O
на O
это O
место, O
обещав O
себе, O
что O
однажды O
«попробую». O

И O
я O
ненавижу O
это O
говорить, O
но O
сомневаюсь, O
что O
когда-нибудь O
вернусь. O

Еда B-TARGET
очень O
средняя... O
тайская B-TARGET
фузионная I-TARGET
вещь I-TARGET
немного O
слишком O
сладка, O
все, O
что O
они O
подают, O
здесь O
слишком O
сладко. O

Единственная O
вещь, O
которую O
я O
умеренно O
наслаждался, O
была O
их O
специальной B-TARGET
курицей I-TARGET
с I-TARGET
Edamame I-TARGET
Puree. I-TARGET

Я O
никогда O
раньше O
не O
чистил B-TARGET
Эдамаме, I-TARGET
но O
я O
думал, O
что O
это O
инновационное O
и O
вкусное O
(могло O
бы O
использовать O
немного O
больше O
соли). O

В O
любом O
случае, O
если O
вы O
находитесь O
в O
районе, O
чтобы O
поесть O
хорошую O
еду, O
я O
бы O
не O
тратил O
свое O
время, O
пытаясь O
найти O
что-то, O
а O
скорее O
перейти O
через O
улицу O
в O
Тамари. O

Декор B-TARGET
ночью, O
но O
они O
действительно O
должны O
очистить, O
что O
вентиляция B-TARGET
в O
потолке...это O
довольно O
неприхотливо, O
и O
убивает O
ваши O
усилия, O
чтобы O
сделать O
это O
место B-TARGET
выглядит O
шикарно O
и O
современно. O

Мы O
поели O
снаружи O
в O
баре O
Haru's O
Sake, O
потому O
что O
ресторан O
рядом O
с O
Haru O
