Önceki O
yazılardan O
yargılama O
Bu, O
bu O
iyi O
bir O
yerdi, B-TARGET
ancak O
artık O
değil. O

Biz, O
bizden O
dördümüz O
vardı, O
öğlen O
geldi O
- O
yer O
boştu O
- O
ve O
personel B-TARGET
biz O
onlara O
dayatmış O
gibi O
davrandılar O
ve O
çok O
kaba O
davrandılar. O

Bize O
hiçbir O
zaman O
ücretsiz O
erişte O
getirmediler, O
şeker O
için O
tekrarlanan O
istekleri O
görmezden O
geldiler O
ve O
yemeklerimizi O
masaya O
attı. O

Yemek B-TARGET
berbat O
- O
çok O
tatlı O
ya O
da O
çok O
tuzlu O
ve O
porsiyonlar B-TARGET
minik. O

Bunlardan O
sonra, O
bana O
küçük O
ipucu O
hakkında O
şikayet O
ettiler. O

Burası B-TARGET
kaçının! O

Saul, O
birçok O
kez O
yedim, O
yemek B-TARGET
her O
zaman O
tutarlı O
bir O
şekilde, O
çok O
iyi. O

Saul, B-TARGET
Smith O
Caddesi'ndeki O
ve O
Brooklyn'deki O
en O
iyi O
restorandır. O

Ördek B-TARGET
confit I-TARGET
her O
zaman O
şaşırtıcı O
ve O
incir O
ile B-TARGET
kaz I-TARGET
ciğeri I-TARGET
terrini I-TARGET
bu O
dünyanın O
dışındaydı. O

Şarap B-TARGET
listesi I-TARGET
ilginçtir O
ve O
birçok O
iyi O
değere O
sahiptir. O

Fiyat O
için, O
Manhattan'da O
bunu O
iyi O
yiyemezsiniz. O

Bu O
restoran B-TARGET
ile O
çok O
hayal O
kırıklığına O
uğradım. O

Bir O
sepet B-TARGET
görevlisi I-TARGET
bir O
lotus O
yaprağı O
sarılı O
pilav O
için O
bir O
sepeti O
istedim O
ve O
pirinci O
cevap O
verdi O
ve O
sadece O
uzaklaştı. O

Talep O
edilmesinden O
nihayet O
geri O
dönmeden O
önce O
ona O
üç O
kez O
sormak O
zorunda O
kaldım. O

Yemek B-TARGET
iyiydi, O
harika O
bir O
şey O
yok. O

Chow B-TARGET
eğlence I-TARGET
kurudu;Domuz B-TARGET
Shu I-TARGET
Mai I-TARGET
genellikle O
yağlıdan O
daha O
fazlaydı O
ve O
yüksek O
sesle O
ve O
kaba O
bir O
aile O
ile O
bir O
masayı O
paylaşmak O
zorunda O
kaldı. O

Ben O
bir O
daha O
asla O
bu O
yere B-TARGET
geri O
dönmeyeceğiz. O

3 O
günlük O
bir O
istiridye O
ağzına O
gitti, O
kapanmayı O
arttıran O
balıklarla B-TARGET
birlikte, O
o O
yolculuk O
sona O
erdi, O
çünkü O
o O
çok O
harikaydı, O
çünkü O
çok O
harikaydı! O

Servis B-TARGET
Devine, B-TARGET
istiridye O
geldikleri O
gibi O
şehvetli O
olduğu O
ve O
fiyatı O
yenemez O
!!! O

Burada O
yanlış O
gidemezsin. O

New O
York'ta O
her O
zaman, O
Smith O
Caddesi'ndeki O
Restaurant B-TARGET
Saul'u I-TARGET
ziyaret O
etmenin O
bir O
noktasını O
yapıyorum. O

Her O
şey O
her O
zaman O
mükemmellik O
için O
pişirilir, O
servis B-TARGET
mükemmel, O
dekor B-TARGET
serin O
ve O
serin. O

Son O
ziyaretimde O
ördek B-TARGET
göğsü I-TARGET
özel I-TARGET
ve O
inanılmazdı. O

Bir O
sonraki O
ziyaretim O
için O
bekleyemem. O

Gözlerimi O
bu O
yerde O
yaptım, O
kendime O
umut O
verici, O
bir O
gün O
'denemeye O
"vereceğim. O

Ve O
bunu O
söylemekten O
nefret O
ediyorum O
ama O
asla O
geri O
döneceğimden O
şüpheliyim. O

Yemekler B-TARGET
çok O
ortalama O
... O
Tayland B-TARGET
füzyonu I-TARGET
şeyler O
biraz O
çok O
tatlı, O
hizmet O
ettikleri O
her O
şey O
burada O
çok O
tatlı. O

Ben O
orta O
sevdiğim O
tek O
şey, O
Idamame B-TARGET
Puree I-TARGET
ile I-TARGET
ızgara O
tavukları O
özeldi. O

Daha O
önce O
Sureed O
Samamame B-TARGET
hiç O
olmadı O
ama O
yenilikçi O
ve O
lezzetli O
olduğunu O
düşündüm O
(biraz O
daha O
fazla O
tuz O
kullanabildi). O

Her O
neyse, O
eğer O
mükemmel O
yemek O
yemek O
için O
