Long O
wait. B-TARGET

Same O
dessert, B-TARGET
two O
days O
after O
each O
other. O

Unbearable B-TARGET
buffet I-TARGET
was O
great. O

It's O
not O
cheap. O

Via O
via, O
we O
had O
heard O
that O
we O
had O
to O
be O
here O
for O
Wagye O
beef. O

Our O
GPS O
wasn't O
the O
best O
guide O
to O
get O
to O
Altembrouck O
Castle. O

But O
once O
we O
got O
to O
the O
castle B-TARGET
restaurant, I-TARGET
it O
became O
a O
party. O

First O
of O
all, O
the O
operator, B-TARGET
who's O
extremely O
friendly, O
does O
not O
act O
compulsively, O
but O
really. O

I've O
been O
there O
many O
times, O
and O
there O
was O
a O
wonderful O
chemistry O
going O
on O
between O
the O
staff. B-TARGET

You O
have O
a O
choice O
between O
a O
limited O
number O
of O
menus. B-TARGET

Specialization O
is O
Wagye O
cattle. O

When O
you O
ask O
for O
explanations O
about O
this O
delicious O
beef, B-TARGET
the O
meat O
is O
actually O
presented O
to O
you O
on O
a O
plate. O

It's O
not O
that O
it's O
cheap, O
but O
it's O
extraordinarily O
delicious. O

If O
you're O
not O
a O
steak O
lover, O
there's O
a O
fisherman, B-TARGET
duck B-TARGET
and O
goat B-TARGET
at O
acceptable O
prices. O

The O
wine B-TARGET
map I-TARGET
is O
a O
good O
selection O
of O
delicious, O
high-quality O
wines. B-TARGET

It O
was O
a O
long O
time O
ago O
that O
we O
ate O
so O
well. O

On O
the O
border O
between O
the O
Netherlands O
and O
Belgium, O
we O
ate O
exceptionally O
well O
in O
an O
atmosphere B-TARGET
with O
a O
live O
band O
that O
found O
the O
right O
tone O
and O
gave O
us O
a O
delicious O
afternoon. O

This O
is O
the O
third O
time O
we've O
eaten O
here. O

It's O
a O
fantastic O
opportunity. B-TARGET

If O
it's O
nice O
outside O
on O
the O
courtyard O
or O
at O
the O
pond, O
eat O
or O
drink. O

On O
the O
Altembrouck O
estate, O
they're O
working O
with O
fresh, O
fair O
products. B-TARGET

So O
they O
have O
maize O
pigs O
and O
wagyu O
cattle. O

There's O
no O
menu B-TARGET
card. I-TARGET

On O
Sundays, O
there's O
a O
three-course B-TARGET
menu I-TARGET
at O
27,50, O
which O
