Good O
hour. O

My O
name O
is O
Vlada! O

I O
was O
with O
my O
young O
man O
and O
a O
couple O
of O
his O
friends O
celebrating O
my O
birthday O
at O
this O
restaurant O
just O
the O
other O
day. O

The O
good O
service B-TARGET
met O
us O
at O
the O
maitre B-TARGET
d'awn I-TARGET
and O
drove O
us O
to O
the O
table, O
which O
was O
great O
for O
us. O

He O
was O
in O
a O
cozy O
corner B-TARGET
at O
the O
end O
of O
the O
main O
hall, O
muffled B-TARGET
light I-TARGET
is O
the O
main O
part O
of O
this O
restaurant O
there's O
no O
daylight O
lighting. O
That O
was O
a O
big O
positive O
for O
our O
birthday! O

It's O
just O
that O
we O
came O
in O
at O
four O
o'clock O
in O
the O
afternoon, O
so O
it O
was O
a O
nice O
evening... O

We O
had O
a O
couple O
of O
nice O
meals B-TARGET
on O
our O
not O
big O
candy, O
so O
I O
ordered O
some O
snails, B-TARGET
and O
it O
was O
really O
good, O
and O
I O
didn't O
think O
it O
was O
a O
very O
expensive O
300 O
rubles, O
so O
my O
young O
man O
ordered O
some O
meat B-TARGET
on I-TARGET
the O
mangal, O
which O
they're O
full O
of, O
which O
he's O
not O
usually O
comfortable O
with, O
and O
then O
his O
friends O
got O
a O
lot O
of O
meat B-TARGET
on I-TARGET
the O
mangal, O
too! O

Towards O
the O
evening, O
we O
were O
warned O
that O
there O
would O
be O
live B-TARGET
music, I-TARGET
and O
we O
were O
so O
happy O
with O
this O
unexpected O
surprise, O
we O
had O
just O
the O
time O
to O
dance, O
and O
there O
was O
such O
a O
beautiful O
voice B-TARGET
of O
a O
soloist...!!! O

Anyway, O
we're O
insanely O
pleased O
to O
have O
spent O
the O
evening O
at O
this O
restaurant, B-TARGET
so O
we're O
all O
advised) O

We O
were O
in O
Dita's O
last O
week O
with O
a O
friend. O

They O
came O
by O
by O
accident, O
both O
of O
them O
didn't O
go O
to O
Chinese O
restaurants, O
decided O
to O
try O
what O
it O
was. O

What O
you O
didn't O
know O
to O
order O
was O
a O
waitress's O
taste. O

They O
weren't O
disappointed O
at O
all! O

My O
friend's O
got O
a O
boat, O
I O
got O
a O
pork O
pork O
in O
Peking. O

The O
food B-TARGET
is O
delicious, O
unusual. O

It'll O
be O
interesting O
to O
come O
in O
and O
try O
something O
else. O

With O
regard O
to O
the O
interior: B-TARGET
there B-TARGET
is O
no O
quiet, O
no O
noisy O
company O
(not O
at O
least O
at O
