The B-TARGET
view I-TARGET
area, O
yes, O
but O
the O
service B-TARGET
sucks. O

When O
you O
ask O
for O
cold O
water, O
there's O
no O
cold, O
the O
waiter O
who O
says O
we're O
out O
of O
all O
the O
water, O
the O
food O
that O
comes O
in O
exactly O
two O
hours O
after O
the O
order, O
the O
fact O
that O
the O
meal B-TARGET
is O
no O
more O
than O
a O
piece O
of O
roca O
and O
pure O
that O
we O
want O
to O
eat. O

The O
food's B-TARGET
good, O
the O
flavors B-TARGET
are O
good, O
but O
there's O
nothing O
exciting O
about O
it, O
it's O
no O
longer O
a O
horse O
and O
camel O
thing O
to O
do O
with O
a O
good O
fish. O

These O
prices B-TARGET
are O
too O
big O
for O
this O
service. O

I O
was O
surprised O
by O
the O
low O
quality B-TARGET
of O
blue. O

I O
don't O
know O
where O
to O
start. O

I O
mean, O
people O
who O
make O
such O
good O
comments O
here, O
they've O
probably O
never O
eaten O
fish B-TARGET
before. O

Before O
the O
calamari O
and O
Coke, O
the O
fish B-TARGET
came I-TARGET
and O
was O
thrown O
right O
in O
front O
of O
us. O

Besides, O
the O
squid B-TARGET
was O
cold O
and O
sponge-like. O

Long O
story O
short, O
I'll O
never, O
ever O
go O
back O
and O
recommend O
it. O

As O
I O
told O
you O
before, O
it's O
a O
low-profile B-TARGET
place. O

It's O
definitely O
not O
a O
home-cooked B-TARGET
meal I-TARGET
- O
although O
there O
are O
so O
many O
failed O
home-cooked O
meals, O
I O
haven't O
been O
able O
to O
figure O
out O
the O
intensity O
of O
the O
afternoon. O

People O
don't O
really O
know O
what O
a O
home-cooked B-TARGET
meal I-TARGET
is. O

Or O
everyone O
tries O
once O
like O
me O
and O
never O
leaves. O

I'm O
not O
suggesting O
a O
place O
where O
the O
prices B-TARGET
I've O
tried O
once O
are B-TARGET
high O
and O
the O
food O
is O
tasteless. O

At O
the O
entrance O
of O
the O
place, O
I O
found O
the O
butcher's B-TARGET
department I-TARGET
not O
very O
intimate, O
since O
there O
was O
no O
bright, O
warm O
landscape O
to O
be O
created. O

Our O
waiter O
was O
indifferent, O
so O
we O
said O
he O
did, O
which O
weakens O
my O
expectations O
of O
the O
restaurant. O

I O
ate O
better O
marshmallows. B-TARGET
It O
was O
nice. O

It's O
a O
chassis O
salad, O
so... O

I O
don't O
know, O
maybe O
I O
could O
give O
the O
place B-TARGET
another O
chance O
later. O

Two O
years O
ago, O
I O
remembered O
the O
place O
we O
came O
to O
have O
a O
quick O
breakfast O
with O
six O
tl O
tea: B-TARGET

We O
didn't O
pay O
attention O
on O
the O
menu, O
but O
we O
had O
a O
little O
shock O
when O
the O
check O
came O
in, O
which O
may O
have O
been O
nice, O
but O
we O
didn't O
stop O
by O
again O
because O
of O
the O
month B-TARGET
we O
paid O
more O
than O
breakfast. O

I'd O
recommend O
castle B-TARGET
beer. I-TARGET

The B-TARGET
sauce I-TARGET
is O
buttered O
and O
soft. O

It O
was O
delicious O
for O
those O
who O
didn't O
like O
hard O
meat. O

It's O
a O
good O
three-way O
with O
safe O
yoghurt B-TARGET
and I-TARGET
salad. I-TARGET

He's B-TARGET
got O
a O
quick O
valet. O

In O
the O
open, O
the O
gardenia B-TARGET
is O
good. O

Perfect O
for O
a O
crowd. O

He's O
got O
coffee O
and O
