- O
DOCSTART O
... O

EU B-ORG
lehnt O
deutschen B-MISC
Aufruf O
zum O
Boykott O
des O
britischen B-MISC
Lammes O
ab O
. O

Peter B-PER
Blackburn I-PER

BRÜSSEL B-LOC
1996 O
- O
08 O
- O
22 O

Die O
Europäische B-ORG
Kommission I-ORG
hat O
am O
Donnerstag O
erklärt O
, O
dass O
sie O
nicht O
mit O
dem O
deutschen B-MISC
Verbraucherhinweis O
einverstanden O
sei O
, O
britisches B-MISC
Lamm O
zu O
meiden O
, O
bis O
Wissenschaftler O
feststellen O
, O
ob O
Rinderwahnsinn O
auf O
Schafe O
übertragen O
werden O
kann O
. O

Deutschlands B-LOC
Vertreter O
im O
Veterinärausschuss O
der O
Europäischen B-ORG
Union I-ORG
Werner B-PER
Zwingmann I-PER
sagte O
am O
Mittwoch O
Verbraucher O
sollten O
Schaffleisch O
aus O
anderen O
Ländern O
als O
Großbritannien B-LOC
kaufen O
, O
bis O
die O
wissenschaftliche O
Beratung O
klarer O
war O
. O

„ O
Wir O
unterstützen O
keine O
solche O
Empfehlung O
, O
weil O
wir O
keinen O
Grund O
dafür O
sehen O
" O
, O
sagte O
der O
Chefsprecher O
der O
Kommission B-ORG
, O
Nikolaus B-PER
van I-PER
der I-PER
Pas I-PER
, O
einem O
Nachrichtenbriefing O
. O

Er O
erklärte O
, O
dass O
weitere O
wissenschaftliche O
Untersuchungen O
erforderlich O
seien O
und O
dass O
die O
Europäische B-ORG
Union I-ORG
Maßnahmen O
ergreifen O
müsse O
. O

Er O
sagte O
, O
dass O
ein O
Vorschlag O
des O
EU-Landwirtschaftskommissars B-ORG
Franz B-PER
Fischler I-PER
, O
Schafhirn O
, O
Milz O
und O
Rückenmark O
aus O
den O
Nahrungsketten O
von O
Mensch O
und O
Tier O
zu O
verbieten O
, O
im O
vergangenen O
Monat O
ein O
sehr O
spezifischer O
und O
vorsorglicher O
Schritt O
zum O
Schutz O
der O
menschlichen O
Gesundheit O
sei O
. O

Fischler B-PER
schlug O
EU-weite B-MISC
Maßnahmen O
vor O
, O
nachdem O
Großbritannien B-LOC
und O
Frankreich B-LOC
berichtet O
hatten O
, O
dass O
Schafe O
unter O
Laborbedingungen O
Rinderspongiforme B-MISC
Enzephalopathie I-MISC
( O
BSE B-MISC
) O
-- O
Rinderwahnsinnskrankheit O
-- O
anstecken O
könnten O
. O

Fischler B-PER
stimmte O
jedoch O
zu O
, O
seinen O
Vorschlag O
zu O
überprüfen O
, O
nachdem O
der O
Ständige O
Veterinärausschuss O
der O
EU B-ORG
, O
maditionelle O
Tiergesundheitsbeamte O
, O
gefragt O
hatte O
, O
ob O
solche O
Maßnahmen O
gerechtfertigt O
seien O
, O
da O
es O
nur O
ein O
geringes O
Risiko O
für O
die O
menschliche O
Gesundheit O
gebe O
. O

Die O
spanische B-MISC
Landwirtschaftsministerin O
Loyola B-PER
de I-PER
Palacio I-PER
hatte O
Fischler B-PER
früher O
auf O
einem O
Treffen O
der O
EU-Landwirtschaftsminister B-ORG
beschuldigt O
, O
durch O
„ O
gefährliche O
Verallgemeinerung O
" O
ungerechtfertigte O
Alarme O
ausgelöst O
zu O
haben O
. O

........................................................................................................ O

Nur O
Frankreich B-LOC
und O
Großbritannien B-LOC
unterstützten O
Fischlers B-PER
Vorschlag O
. O

Die O
wissenschaftlichen O
Veterinär- O
und O
multidisziplinären O
Ausschüsse O
der O
EU B-ORG
sollen O
das O
Thema O
Anfang O
nächsten O
Monats O
erneut O
prüfen O
und O
Empfehlungen O
an O
die O
leitenden O
Veterinärbeamten O
abgeben O
. O

Schafe O
sind O
seit O
langem O
bekannt O
dafür O
, O
Scrapie O
zu O
kontrahieren O
, O
eine O
Gehirnverschwendungskrankheit O
, O
die O
mit O
BSE B-MISC
vergleichbar O
ist O
, O
von O
der O
angenommen O
wird O
, O
dass O
sie O
durch O
Futtermittel O
, O
die O
tierische O
Abfälle O
enthalten O
, O
auf O
Rinder O
übertragen O
worden O
sind O
. O

Britische B-MISC
Landwirte O
verweigert O
am O
Donnerstag O
gab O
es O
eine O
Gefahr O
für O
die O
menschliche O
Gesundheit O
von O
ihren O
Schafen O
, O
aber O
äußerte O
sich O
besorgt O
, O
dass O
die O
deutsche B-MISC
Regierung O
Rat O
an O
die O
Verbraucher O
zu O
vermeiden O
, O
britisches B-MISC
Lamm O
könnte O
die O
Verbraucher O
in O
ganz O
Europa B-LOC
beeinflussen O
. O

" O
Was O
wir O
sehr O
vorsichtig O
sein O
müssen O
, O
ist O
, O
wie O
andere O
Länder O
Deutschlands B-LOC
Führung O
übernehmen O
werden O
, O
" O
Wales B-ORG
National I-ORG
Farmers I-ORG
' O
Union O
( O
NFU B-ORG
) O
Vorsitzender O
John B-PER
Lloyd I-PER
Jones I-PER
sagte O
auf O
BBC-Radio B-ORG
. O

Bonn B-LOC
hat O
Anstrengungen O
zum O
Schutz O
der O
öffentlichen O
Gesundheit O
unternommen O
, O
nachdem O
das O
Vertrauen O
der O
Verbraucher O
im O
März O
zusammengebrochen O
war O
, O
nachdem O
in O
einem O
britischen B-MISC
Bericht O
vorgeschlagen O
wurde O
, O
dass O
Menschen O
durch O
den O
Verzehr O
von O
kontaminiertem O
Rindfleisch O
eine O
ähnliche O
Krankheit O
wie O
Rinderwahnsinn O
anstecken O
könnten O
. O

Deutschland B-LOC
importierte O
im O
vergangenen O
Jahr O
47.600 O
Schafe O
aus O
Großbritannien B-LOC
, O
fast O
die O
Hälfte O
der O
Gesamteinfuhren O
. O

Es O
brachte O
4.275 O
Tonnen O
britischem B-MISC
Hammelfleisch O
, O
rund O
10 O
Prozent O
der O
Gesamteinfuhren O
. O

- O
DOCSTART O
... O

Rare O
Hendrix B-PER
Song O
Draft O
verkauft O
sich O
für O
fast O
$ O
17.000. O

LONDON B-LOC
1996 O
- O
08 O
- O
22 O

Eine O
seltene O
frühe O
handschriftliche O
Entwurf O
eines O
Liedes O
von O
US-Gitarrenlegende B-LOC
Jimi B-PER
Hendrix I-PER
wurde O
für O
fast O
$ O
17.000 O
am O
Donnerstag O
bei O
einer O
Auktion O
von O
einigen O
der O
späten O
Musiker O
Lieblingsbesitz O
verkauft O
. O

Ein O
Restaurant O
in O
Florida B-LOC
zahlte O
10.925 O
Pfund O
( O
$ O
16.935 O
) O
für O
den O
Entwurf O
von O
" O
Ain't B-MISC
tell I-MISC
" O
, O
die O
Hendrix B-PER
schrieb O
auf O
einem O
Stück O
Londoner B-LOC
Hotel O
Schreibwaren O
Ende O
1966. O

Am O
Ende O
eines O
Konzerts O
im O
Januar O
1967 O
in O
der O
englischen B-MISC
Stadt O
Nottingham B-LOC
warf O
er O
das O
Blatt O
Papier O
in O
das O
Publikum O
, O
wo O
es O
von O
einem O
Fan O
abgerufen O
wurde O
. O

Käufer O
schnappte O
auch O
16 O
andere O
Gegenstände O
, O
die O
für O
die O
Auktion O
von O
Hendrix's B-PER
ehemalige O
Freundin O
Kathy B-PER
Etchingham I-PER
, O
die O
mit O
ihm O
lebte O
von O
1966 O
bis O
1969. O

Sie O
beinhalteten O
einen O
schwarzen O
Lack O
und O
Perlmutt O
eingelegte O
Box O
von O
Hendrix B-PER
verwendet O
, O
um O
seine O
Drogen O
zu O
speichern O
, O
die O
ein O
anonymer O
australischer B-MISC
Käufer O
für O
5.060 O
Pfund O
( O
$ O
7.845 O
) O
gekauft O
. O

Der O
Gitarrist O
starb O
1970 O
im O
Alter O
von O
27 O
Jahren O
an O
einer O
Überdosis O
von O
Drogen O
. O

- O
DOCSTART O
... O

China B-LOC
sagt O
, O
Taiwan B-LOC
verdirbt O
Atmosphäre O
für O
Gespräche O
. O

BEIJING B-LOC
1996 O
- O
08 O
- O
22 O

China B-LOC
beschuldigte O
am O
Donnerstag O
Taipeh B-LOC
, O
die O
Atmosphäre O
für O
eine O
Wiederaufnahme O
der O
Gespräche O
über O
die O
Taiwan-Straße B-LOC
mit O
einem O
Besuch O
in O
der O
Ukraine B-LOC
von O
taiwanesischen B-MISC
Vizepräsidenten O
Lien B-PER
Chan I-PER
in O
dieser O
Woche O
, O
die O
Peking B-LOC
wütend O
. O

Nur O
wenige O
Stunden O
nachdem O
die O
chinesischen B-MISC
staatlichen O
Medien O
erklärten O
, O
die O
Zeit O
sei O
richtig O
, O
politische O
Gespräche O
mit O
Taiwan B-LOC
aufzunehmen O
, O
sagte O
der O
Sprecher O
des O
Außenministeriums B-ORG
Shen B-PER
Guofang I-PER
zu O
Reuters B-ORG
: O
" O
Die O
notwendige O
Atmosphäre O
für O
die O
Eröffnung O
der O
Gespräche O
wurde O
von O
den O
taiwanischen O
Behörden O
gestört O
. O
" O

Staatliche O
Medien O
zitiert O
Chinas B-LOC
Top-Unterhändler O
mit O
Taipeh B-LOC
, O
Tang B-PER
Shubei I-PER
