Melbourne B-LOC
( O
Australia B-LOC
) O
, O
25 O
May O
( O
EFE B-ORG
) O

- O
by O

The O
Attorney B-PER
General I-PER
, O
Daryl B-PER
Williams I-PER
, O
stressed O
today O
the O
need O
to O
take O
steps O
to O
protect O
the O
Australian O
judicial O
system O
from O
a O
website O
that O
makes O
compliance O
with O
the O
basic O
principles O
of O
the O
Law B-MISC
impossible O
. O

The O
Attorney B-PER
General I-PER
’s O
request O
comes O
after O
a O
judge O
of O
the O
Supreme B-ORG
Court I-ORG
of O
the O
state O
of O
Victoria B-LOC
( O
Australia B-LOC
) O
was O
forced O
to O
dissolve O
a O
popular O
jury O
and O
suspend O
the O
trial O
over O
the O
defense O
’s O
argument O
that O
the O
people O
who O
composed O
it O
could O
have O
obtained O
information O
about O
the O
accused O
through O
the O
CrimeNet B-MISC
page O
. O

It O
has O
been O
visited O
over O
a O
million O
times O
, O
and O
provides O
information O
about O
thousands O
of O
crimes O
and O
criminals O
already O
prosecuted O
or O
persecuted O
, O
data O
coming O
from O
newspaper O
articles O
and O
judicial O
archives O
. O

Victoria O
’s O
attorney B-PER
general I-PER
, O
Rob B-PER
Hulls I-PER
, O
said O
there O
is O
no O
one O
to O
control O
that O
the O
information O
contained O
on O
CrimeNet B-MISC
is O
truthful O
. O

Hulls B-PER
noted O
that O
in O
the O
Commonwealth B-ORG
legal O
system O
, O
on O
which O
Australian O
justice O
is O
based O
, O
it O
is O
fundamental O
that O
the O
person O
is O
judged O
only O
taking O
into O
account O
the O
evidence O
presented O
before O
the O
judge O
. O

The O
aforementioned O
internet O
page O
is O
also O
considered O
the O
cause O
of O
the O
premature O
conclusion O
in O
a O
murder O
case O
recently O
tried O
in O
the O
city O
of O
Melbourne B-LOC
, O
the O
capital O
of O
the O
state O
of O
Victoria B-LOC
. O

Santander B-LOC
, O
25 O
May O
( O
EFE B-ORG
) O

- O
by O

Izquierda B-ORG
Unida I-ORG
de I-ORG
Santander I-ORG
presented O
today O
its O
new O
quarterly O
bulletin O
" O
City B-MISC
" O
, O
a O
publication O
of O
which O
10,000 O
copies O
will O
be O
distributed O
preferably O
in O
the O
neighborhoods O
of O
the O
municipality O
where O
the O
collation O
has O
greater O
citizen O
support O
. O

The O
spokesman O
of O
the O
IU B-ORG
Municipal I-ORG
Political I-ORG
Council I-ORG
in O
Santander B-LOC
, O
Ernesto B-PER
Gómez I-PER
de I-PER
la I-PER
Hera I-PER
, O
explained O
today O
at O
a O
press O
conference O
that O
this O
newsletter O
seeks O
, O
rather O
than O
informing O
, O
to O
open O
spaces O
of O
debate O
and O
serve O
as O
" O
seed O
of O
political O
mobilization O
" O
in O
the O
city O
. O

Gómez B-PER
de I-PER
la I-PER
Hera I-PER
commented O
that O
the O
contents O
of O
the O
" O
City B-MISC
" O
publication O
respond O
to O
the O
program O
he O
headed O
as O
a O
candidate O
in O
the O
1999 O
municipal O
elections O
, O
in O
which O
IU B-ORG
lost O
its O
representation O
in O
the O
City B-ORG
Hall O
, O
and O
trusted O
that O
its O
dissemination O
would O
be O
wider O
once O
the O
coalition O
resolved O
its O
economic O
crisis O
. O

At O
the O
moment O
, O
" O
City B-MISC
" O
will O
be O
distributed O
preferentially O
in O
the O
neighborhoods O
with O
the O
most O
voters O
of O
IU B-ORG
, O
among O
which O
the O
coalition O
's O
municipal O
spokesman O
cited O
the O
northern O
slope O
of O
the O
street B-LOC
Alta I-LOC
, O
Cazoña B-LOC
and O
the O
area O
comprised O
between O
the O
streets O
Castilla B-LOC
and O
Hermida B-LOC
. O

" O
City B-MISC
" O
, O
a O
bulletin O
composed O
of O
two O
folios O
folded O
in O
half O
, O
goes O
out O
on O
the O
street O
in O
its O
first O
issue O
criticising O
the O
construction O
works O
of O
underground O
parking O
spaces O
, O
the O
discomfort O
they O
are O
causing O
neighbors O
and O
the O
way O
they O
will O
be O
exploited O
. O

Gómez B-PER
de I-PER
la I-PER
Hera I-PER
considers O
that O
" O
the O
PP B-ORG
's O
policy O
of O
making O
money O
absolutely O
of O
everything O
and O
that O
that O
money O
is O
distributed O
especially O
for O
his O
friends O
" O
has O
turned O
Santander B-LOC
into O
" O
a O
trap O
full O
of O
holes O
, O
when O
all O
the O
cities O
in O
Western O
Europe B-LOC
are O
trying O
to O
make O
their O
urban O
hubs O
more O
habitable O
" O
. O

According O
to O
his O
judgment O
, O
the O
reasons O
for O
the O
City B-ORG
Council O
to O
carry O
forward O
these O
works O
are O
“ O
crematistic O
, O
mercenary O
, O
but O
they O
have O
nothing O
to O
do O
with O
the O
future O
of O
Santander B-LOC
or O
with O
the O
well O
- O
being O
of O
the O
vast O
majority O
of O
its O
population O
” O
. O

EFE B-ORG
- O
Cantabria B-LOC
Frankfurt B-LOC
( O
RFA B-LOC
) O
, O
25 O
May O
( O
EFECOM B-ORG
) O

- O
by O

The O
German O
telephone O
group O
Deutsche B-ORG
Telekom I-ORG
has O
acquired O
the O
remaining O
50 O
percent O
of O
the O
Swiss O
telecom O
operator O
Multilink B-ORG
, O
which O
previously O
owned O
France B-ORG
Telecom I-ORG
, O
and O
has O
become O
its O
sole O
owner O
, O
the O
German O
company O
said O
on O
Thursday O
. O

In O
return O
, O
Deutsche B-ORG
Telekom I-ORG
will O
sell O
the O
French O
consortium O
its O
25 O
% O
stake O
in O
the O
British O
joint O
venture O
MetroHoldings B-ORG
. O

Multilink B-ORG
was O
founded O
in O
1998 O
and O
offers O
telephone O
and O
data O
transmission O
services O
in O
Switzerland B-LOC
and O
abroad O
, O
in O
addition O
to O
having O
its O
own O
fiber O
optic O
urban O
network O
. O

Deutsche B-ORG
Telekom I-ORG
called O
this O
purchase O
, O
the O
price O
of O
which O
it O
did O
not O
specify O
, O
another O
step O
towards O
its O
internationalization O
by O
means O
of O
majority O
acquisitions O
aimed O
at O
having O
control O
of O
the O
management O
of O
those O
companies O
. O

This O
is O
one O
of O
the O
most O
important O
things O
in O
the O
world O
. O

Merida B-LOC
, O
25 O
May O
( O
EFE B-ORG
) O

- O
by O

The O
Delegation B-ORG
of I-ORG
the I-ORG
Agency I-ORG
EFE I-ORG
in O
Extremadura B-LOC
will O
transmit O
today O
, O
Thursday O
, O
day O
25 O
, O
among O
others O
, O
the O
following O
information O
: O
( O
LASA B-PER
ZABALA B-PER
) O
. O

- O
by O

by O
Merida B-LOC
. O

- O
by O

The O
President O
of O
the O
Junta B-ORG
of I-ORG
Extremadura I-ORG
, O
Juan B-PER
Carlos I-PER
Rodríguez I-PER
Ibarra I-PER
, O
will O
receive O
in O
the O
headquarters O
of O
the O
Presidency B-ORG
of I-ORG
the O
Government O
of O
Extremadura O
the O
relatives O
of O
several O
of O
the O
condemned O
by O
the O
" O
Lasa B-MISC
- I-MISC
Zabala I-MISC
" O
process O
, O
among O
them O
Lourdes B-PER
Díez I-PER
Urraca I-PER
, O
wife O
of O
the O
former O
civil O
governor O
of O
Guipúzcoa B-LOC
Julen B-PER
Elgorriaga I-PER
; O
and O
Antonio B-PER
Rodríguez I-PER
Galindo I-PER
, O
brother O
of O
General O
Enrique B-PER
Rodríguez I-PER
Galindo I-PER
. O

( O
with O
a O
photo O
of O
the O
meeting O
) O
. O

- O
by O

by O
Merida B-LOC
. O

- O
by O

The O
Plenary B-ORG
Assembly I-ORG
of I-ORG
Extremadura I-ORG
will O
debate O
, O
among O
others O
, O
a O
non O
- O
law O
proposition O
of O
the O
PSOE B-ORG
- I-ORG
NI I-ORG
, O
PP B-ORG
and O
Mixed B-ORG
Deputies I-ORG
of I-ORG
IU I-ORG
groups O
in O
which O
the O
Central O
Government B-ORG
is O
urged O
to O
promulgate O
a O
Ministerial B-MISC
Order I-MISC
that O
collects O
the O
regionalization O
of O
the O
base O
surface O
for O
corn O
cultivation O
. O

and O
entrepreneurs O
. O

- O
by O

by O
Merida B-LOC
. O

- O
by O

Commerce B-MISC
, O
Manuel B-PER
Amigo I-PER
, O
and O
the O
presidents O
of O
Caja B-ORG
Extremadura I-ORG
and O
Caja B-ORG
Badajoz I-ORG
, O
Jesús B-PER
Medina I-PER
and O
José B-PER
Manuel I-PER
