-DOCSTART- O
The O
text O
of O
the O
arrest O
is O
not O
yet O
available O
in O
writing O
, O
but O
the O
message O
was O
already O
made O
public O
by O
a O
communications O
firm O
that O
hired O
Floralux B-ORG
. O

In O
' O
81 O
, O
the O
then O
- O
French B-MISC
government O
regulated O
the O
situation O
with O
a O
BPA B-MISC
that O
allowed O
the O
company O
to O
set O
up O
on O
its O
own O
. O

publication O
. O

So O
today O
, O
Floralux B-ORG
is O
okay O
with O
all O
the O
licenses O
, O
but O
the O
BPA B-MISC
with O
which O
they O
could O
be O
obtained O
was O
contested O
because O
case O
manager O
Christiane B-PER
Vandenbussche I-PER
had O
her O
shell O
company O
from O
... O

In O
the O
first O
instance O
, O
Vandenbussche B-PER
was O
convicted O
in O
the O
early O
' O
90s O
of O
misconduct O
, O
but O
was O
later O
acquitted O
by O
the O
court O
of O
appeals O
in O
Ghent B-LOC
. O

SP B-ORG
is O
hard O
-- O
( O
Eric B-PER
, O
sd O
) O
Derycke B-PER
wants O
to O
approve O
BPA B-MISC
on O
condition O
that O
BPA B-MISC
" O
The B-MISC
Altitude I-MISC
" O
is O
accepted O
( O
Mayor O
of O
Moorslede B-LOC
Walter B-PER
Ghekiere I-PER
will O
make O
a O
proposal O
) O

It O
's O
not O
enough O
to O
say O
a O
harsh O
sentence O
, O
it O
says O
. O

Now O
, O
this O
court O
does O
not O
hold O
her O
to O
be O
guilty O
of O
any O
crime O
whatsoever O
. O

And O
it O
's O
rapidly O
growing O
into O
a O
hot O
garden O
center O
. O

page O
. O

There O
's O
a O
lot O
more O
being O
sold O
than O
you O
would O
expect O
in O
a O
plant O
farm O
. O

This O
is O
evident O
from O
a O
fax O
sent O
to O
her O
by O
her O
then O
- O
attorney O
- O
at O
- O
law O
, O
and O
taken O
during O
a O
house O
search O
. O

The O
case O
goes O
back O
to O
the O
late O
' O
80s O
. O

Sybille B-PER
Decoo I-PER

It O
would O
have O
misused O
Space B-ORG
Order I-ORG
to O
get O
the O
BPA B-MISC
. O

The O
only O
evidence O
that O
survived O
to O
convict O
Vandenbussche B-PER
of O
involvement O
was O
her O
attendance O
at O
the O
Naval O
College O
when O
the O
Florida B-MISC
case I-MISC
was O
brought O
. O

At O
the O
end O
of O
' O
98 O
, O
the O
Flemish B-MISC
government O
made O
this O
regulation O
definitive O
by O
amending O
the O
zoning O
plan O
. O

guilt O
but O
not O
punishment O
. O

" O

He O
even O
did O
this O
as O
a O
joke O
and O
a O
monkey O
out O
of O
a O
block O
of O
chalk O
. O

The B-ORG
Morning I-ORG

Five O
years O
after O
Easter O
, O
that O
's O
what O
the O
court O
of O
appeal O
seems O
to O
have O
thought O
. O

Antwerp B-LOC
/ O
Brussels B-LOC

Locally O
, O
it O
's O
been O
suspected O
that O
Floralux B-ORG
funded O
Luc B-PER
Martens I-PER
' O
election O
campaigns O
, O
which O
, O
within O
the O
previous O
government O
, O
was O
still O
paying O
attention O
. O

The B-MISC
Life I-MISC

And O
Vandbussche B-PER
himself O
decided O
that O
the O
court O
wanted O
to O
try O
the O
" O
political O
evils O
of O
the O
past O
. O
" O

" O

The O
Court B-ORG
of I-ORG
Cassation I-ORG
overturned O
the O
arrest O
so O
that O
it O
had O
to O
be O
turned O
over O
to O
the O
Court O
of O
Appeal O
of O
Antwerp B-LOC
. O

That O
's O
the O
essence O
of O
the O
arrest O
warrant O
issued O
by O
the O
Court O
of O
Appeal O
in O
Antwerp B-MISC
on O
Wednesday O
in O
the O
case O
of O
the O
controversial O
Floralux B-ORG
gardening O
center O
in O
Moorslede B-LOC
- I-LOC
Dadizele I-LOC
. O

Case O
manager O
Christiane B-PER
Vandenbussche I-PER
is O
convicted O
of O
conflict O
of O
interest O
, O
but O
she O
does O
n't O
get O
a O
punishment O
because O
a O
punishment O
would O
not O
make O
sense O
after O
all O
those O
years O
. O

It O
's O
already O
the O
interpretation O
given O
in O
the O
context O
of O
Floralux B-ORG
to O
the O
arrest O
-- O
see O
page O
one O
-- O
that O
a O
new O
political O
culture O
has O
begun O
, O
and O
the O
old O
political O
seeds O
that O
were O
disgusting O
may O
no O
longer O
have O
to O
be O
replaced O
by O
the O
closure O
of O
a O
case O
. O

What O
went O
on O
for O
years O
as O
a O
contentious O
CVP B-MISC
file I-MISC
is O
now O
being O
ridiculed O
by O
the O
courts O
for O
being O
the O
equivalent O
of O
an O
old O
cow O
. O

In O
order O
to O
survive O
, O
Floralux B-ORG
wants O
the O
agricultural O
land O
to O
be O
converted O
into O
a O
kmo O
zone O
. O

" O
Court B-ORG
condemned O
political O
acts O
of O
the O
time O
. O
" O

The O
lawyer O
writes O
, O
" O
... O
it O
's O
clear O
then O
that O
it O
was O
only O
for O
private O
purposes O
, O
that O
is O
, O
for O
your O
company O
, O
that O
it O
was O
realized O
, O
and O
the O
shipbuilding O
college O
acts O
as O
the O
gateway O
to O
that O
. O
" O

Nonetheless O
, O
she O
told O
VRT B-MISC
radio I-MISC
that O
she O
had O
nothing O
wrong O
. O

author O

Furthermore O
, O
it O
turns O
out O
that O
discussions O
were O
held O
with O
the O
Liberal O
Party O
-- O
then O
PVV B-ORG
-- O
one O
with O
the O
SP B-ORG
: O
" O
Waltniel B-PER
is O
in O
favour O
. O

And O
Delcroix B-PER
decided O
, O
" O
I O
'll O
get O
through O
it O
. O

publishing O
date O

And O
that O
context O
has O
allowed O
the O
dossier O
to O
always O
be O
bathed O
in O
an O
atmosphere O
of O
partisan O
funding O
in O
exchange O
for O
regularization O
. O

General O
. O

Files O
associated O
with O
partisan O
funding O
in O
exchange O
for O
regularization O

Floralux B-ORG
gets O
a O
license O
to O
set O
up O
a O
plant O
farm O
. O

" O

Friday O
, O
June O
2nd O
, O
2000 O

The O
court O
in B-MISC
Antwerp I-MISC
denied O
the O
document O
as O
evidence O
, O
but O
read O
it O
during O
the O
hearing O
. O

What O
those O
political O
deeds O
were O
, O
can O
be O
traced O
back O
to O
the O
Atoma B-MISC
manuscripts I-MISC
that O
Leo B-PER
Delcroix I-PER
kept O
as O
secretary B-MISC
of O
the O
CVP O
. O

sect O
. O

Sybille B-PER
Decoo I-PER

Lawyer O
Floralux B-ORG
: O
Nothing O
wrong O
with O
her O

About O
Floralux B-ORG
, O
it O
said O
, O
" O
They O
want O
regulation O
. O

editing O

-DOCSTART- O
Verberckmoes B-PER
is O
a O
committed O
Catholic O
dissident O
who O
, O
at O
the O
founding O
of O
the O
PVV B-ORG
, O
as O
a O
candidate O
for O
re O
- O
election O
, O
brought O
the O
liberal O
ranks O
up O
and O
almost O
immediately O
made O
him O
a O
representative O
of O
the O
people O
. O

Liberal O
Justice B-ORG
Minister O
Marc B-PER
Verwilghen I-PER
is O
not O
a O
candidate O
on O
the O
local O
LDC B-MISC
list I-MISC
for O
the O
upcoming O
municipal O
elections O
in O
Dendermonde B-LOC
. O

A O
member O
of O
Inzet B-ORG
's O
council O
said O
, O
" O
The O
idea O
was O
that O
we O
would O
form O
a O
cartel O
as O
a O
group O
to O
then O
ask O
the O
voters O
for O
a O
new O
mandate O
. O

Rudy B-PER
De I-PER
Brandt I-PER
admits O
that O
there O
may O
have O
been O
other O
motives O
for O
this O
as O
well O
. O

Willy B-PER
Van I-PER
Damme I-PER

" O
He O
does O
n't O
want O
to O
deceive O
voters O
and O
be O
a O
candidate O
to O
get O
elected O
to O
the O
city O
council O
. O

It O
's O
now O
defining O
. O

Friday O
, O
June O
2nd O
, O
2000 O

Within O
the O
LD B-ORG
, O
in O
Dendermonde B-LOC
, O
there O
's O
great O
success O
. O

The O
proposal O
had O
grown O
quite O
spontaneously O
to O
a O
far O
- O
fetched O
majority O
, O
led O
by O
mayor O
Norbert B-PER
De I-PER
Batselier I-PER
( O
SP B-ORG
) O
. O

The B-ORG
Morning I-ORG

According O
to O
local O
LDP B-MISC
chairman I-MISC
Rudy B-PER
De I-PER
Brandt I-PER
, O
his O
decision O
is O
unforgettable O
. O

He O
's O
against O
the O
accumulation O
of O
mandates O
, O
" O
says O
De B-PER
Brandt I-PER
. O

So O
there O
was O
a O
proposal O
for O
a O
joint O
list O
with O
