-DOCSTART- O
The O
text O
of O
the O
judgment O
is O
not O
yet O
available O
in O
writing O
but O
the O
message O
has O
already O
been O
published O
by O
a O
communication O
agency O
that O
hired O
Floralux B-ORG
. O

In O
' O
81 O
, O
the O
then O
Flemish B-MISC
government O
regularized O
the O
state O
with O
a O
BPA B-MISC
that O
the O
company O
had O
drawn O
up O
at O
its O
own O
expense O
. O

Publication O
of O

Today O
, O
Floralux B-ORG
is O
therefore O
in O
order O
with O
all O
licenses O
, O
but O
the O
BPA B-MISC
with O
which O
they O
could O
be O
obtained O
was O
controversial O
because O
business O
manager O
Christiane B-PER
Vandenbussche I-PER
... O

At O
first O
instance O
, O
Vandenbussche B-PER
was O
convicted O
in O
the O
early O
1990s O
for O
confusion O
of O
interests O
but O
was O
later O
acquitted O
by O
the O
Court O
of O
Appeal O
in O
Gent B-LOC
. O

SP B-ORG
is O
difficult O
-- O
( O
Eric B-PER
, O
sd O
) O
Derycke B-PER
wants O
to O
approve O
BPA B-MISC
on O
condition O
that O
BPA B-MISC
' O
The B-MISC
Height I-MISC
' O
is O
accepted O
limited O
( O
Mayor O
of O
Moorslede B-LOC
Walter B-PER
Ghekiere I-PER
will O
make O
a O
proposal O
) O
. O

It O
is O
not O
enough O
to O
impose O
a O
severe O
punishment O
. O

This O
court O
now O
does O
not O
bind O
a O
penalty O
to O
the O
guilt O
it O
establishes O
. O

It O
quickly O
grows O
into O
a O
garden O
center O
. O

The O
page O

There O
are O
a O
lot O
more O
things O
sold O
than O
you O
would O
expect O
in O
a O
plant O
farm O
. O

This O
is O
evident O
from O
a O
fax O
that O
her O
lawyer O
wrote O
to O
her O
at O
the O
time O
and O
which O
was O
seized O
during O
a O
house O
search O
. O

The O
case O
goes O
back O
to O
the O
end O
of O
the O
1980s O
. O

Sybille B-PER
Decoo I-PER

Spatial B-ORG
Planning I-ORG
would O
have O
abused O
to O
obtain O
the O
BPA B-MISC
. O

The O
only O
evidence O
that O
remained O
to O
condemn O
Vandenbussche B-PER
for O
" O
interest O
- O
taking O
" O
was O
her O
presence O
at O
the O
ship O
's O
college O
when O
the O
file B-MISC
- I-MISC
Floralux I-MISC
came O
up O
. O

At O
the O
end O
of O
' O
98 O
the O
Flemish B-MISC
government O
made O
this O
regularization O
definitive O
with O
a O
district O
plan O
amendment O
. O

Guilt O
but O
no O
penalty O
. O

» O

He O
himself O
did O
this O
as O
" O
larie O
and O
apecool O
of O
quatongue O
" O
. O

The B-ORG
Tomorrow I-ORG

Fige O
after O
Easter O
, O
so O
the O
Court O
of O
Appeal O
seems O
to O
have O
thought O
. O

Antwerp B-LOC
and O
Brussels B-LOC

Locally O
it O
is O
suspected O
that O
Floralux B-ORG
financed O
the O
election O
campaigns O
of O
Luc B-PER
Martens I-PER
, O
who O
within O
the O
previous O
government O
still O
asked O
for O
" O
attention O
" O
for O
the O
case O
. O

The B-MISC
life I-MISC

Vandenbussche B-PER
himself O
ruled O
that O
the O
court O
wanted O
to O
condemn O
" O
the O
political O
morals O
of O
the O
past O
" O
. O

» O

The O
Court B-ORG
of I-ORG
Cassation I-ORG
broke O
the O
judgment O
so O
it O
had O
to O
be O
passed O
by O
the O
Court O
of O
Appeal O
of O
Antwerp B-LOC
. O

That O
is O
the O
essence O
of O
the O
judgment O
that O
the O
Antwerp B-MISC
Court O
of O
Appeal O
passed O
on O
Wednesday O
in O
the O
case O
of O
the O
contested O
garden O
center O
Floralux B-ORG
from O
Moorslede B-LOC
- I-LOC
Dadizele I-LOC
. O

Prosecutor O
Christiane B-PER
Vandenbussche I-PER
is O
found O
guilty O
of O
interference O
( O
‘ O
interest O
taking O
’ O
in O
legal O
language O
) O
but O
is O
not O
punished O
because O
a O
sentence O
after O
all O
those O
years O
would O
no O
longer O
make O
sense O
. O

It O
is O
the O
interpretation O
given O
to O
the O
judgment O
in O
the O
context O
of O
Floralux B-ORG
( O
see O
page O
1 O
): O
that O
a O
“ O
new O
political O
culture O
” O
has O
arisen O
and O
that O
the O
old O
political O
customs O
were O
indeed O
repugnant O
but O
now O
no O
longer O
need O
to O
be O
punished O
with O
, O
in O
this O
case O
, O
the O
closure O
of O
a O
case O
. O

What O
lasted O
years O
as O
a O
controversial O
“ O
CVP B-MISC
file I-MISC
” O
now O
gets O
through O
the O
court O
ruling O
the O
cachet O
of O
an O
old O
cow O
in O
the O
canal O
. O

To O
survive O
, O
Floralux B-ORG
wants O
the O
agricultural O
land O
to O
be O
converted O
into O
a O
SME O
zone O
. O

" O
The O
Court B-ORG
condemned O
the O
political O
morals O
of O
the O
time O
" O

The O
lawyer O
writes O
that O
" O
( O
... O
) O
it O
is O
then O
clear O
that O
it O
( O
BPA B-MISC
, O
sd O
) O
was O
realized O
only O
for O
private O
purposes O
, O
namely O
for O
your O
firm O
, O
and O
the O
ship O
college O
acts O
as O
a O
gangster O
for O
it O
. O
" O

Nevertheless O
, O
she O
insisted O
in O
front O
of O
the O
VRT B-MISC
radio I-MISC
that O
she O
had O
" O
offended O
nothing O
" O
. O

The O
Author O

Furthermore O
, O
it O
turns O
out O
that O
consultations O
were O
held O
with O
the O
liberal O
party O
( O
then O
still O
PVV B-ORG
) O
and O
with O
the O
SP B-ORG
: O
" O
Waltniel B-PER
( O
PVV B-ORG
, O
sd O
) O
is O
in O
favour O
. O

And O
Delcroix B-PER
decided O
, O
“ O
It O
will O
come O
through O
. O

Publication O
Date O

That O
context O
ensured O
that O
the O
file O
has O
always O
been O
bathed O
in O
an O
atmosphere O
of O
party O
financing O
in O
exchange O
for O
regularization O
. O

Generally O

Dossier O
always O
associated O
with O
party O
financing O
in O
exchange O
for O
regularization O

Floralux B-ORG
obtains O
a O
permit O
to O
raise O
a O
plant O
farm O
. O

» O

Friday O
, O
2 O
June O
2000 O

The O
Antwerp B-MISC
court O
rejected O
the O
document O
as O
evidence O
but O
read O
it O
during O
the O
hearing O
. O

What O
those O
political O
morals O
were O
can O
be O
deduced O
from O
the O
Atoma B-MISC
writings I-MISC
that O
Leo B-PER
Delcroix I-PER
held O
when O
he O
was O
still O
CVP B-MISC
secretary I-MISC
. O

Section O
of O

Sybille B-PER
Decoo I-PER

Prosecutor O
Floralux B-ORG
insists O
that O
she O
has O
done O
nothing O
wrong O

About O
Floralux B-ORG
it O
was O
said O
: O
“ O
They O
want O
regularization O
. O

Edited O

-DOCSTART- O
Verberckmoes B-PER
is O
a O
former O
Catholic O
dissident O
who O
, O
at O
the O
foundation O
of O
the O
PVV B-ORG
as O
an O
expansion O
candidate O
, O
joined O
the O
liberal O
ranks O
and O
almost O
immediately O
brought O
it O
to O
popular O
representative O
. O

Liberal O
Justice B-ORG
Minister O
Marc B-PER
Verwilghen I-PER
is O
not O
a O
candidate O
on O
the O
local O
VLD B-MISC
list I-MISC
at O
the O
upcoming O
municipal O
elections O
in O
Dendermonde B-LOC
. O

A O
member O
of O
the O
municipal O
council O
of O
Inzet B-ORG
: O
“ O
The O
intention O
was O
that O
we O
as O
a O
group O
would O
form O
a O
cartel O
list O
that O
would O
then O
ask O
the O
voter O
for O
a O
new O
mandate O
. O

Rudy B-PER
De I-PER
Brandt I-PER
admits O
that O
other O
motives O
may O
also O
have O
played O
a O
major O
role O
. O

by O
Willy B-PER
Van I-PER
Damme I-PER

" O
He O
does O
not O
want O
to O
commit O
voter O
fraud O
and O
be O
a O
candidate O
in O
order O
not O
to O
sit O
in O
the O
city O
council O
. O

It O
is O
now O
definitive O
. O

Friday O
, O
2 O
June O
2000 O

Within O
the O
VLD B-ORG
in O
Dendermonde B-LOC
there O
is O
great O
defeat O
. O

The O
proposal O
hadly O
grown O
quite O
spontaneously O
within O
the O
majority O
led O
by O
Mayor O
Norbert B-PER
De I-PER
Batselier I-PER
( O
SP B-ORG
) O
. O

The B-ORG
Tomorrow I-ORG

According O
to O
local O
VLD B-MISC
chairman I-MISC
Rudy B-PER
De I-PER
Brandt I-PER
, O
his O
decision O
is O
irrevocable O
. O

He O
is O
against O
cumulating O
mandates O
, O
” O
says O
De B-PER
Brandt I-PER
. O

For O
example O
, O
there O
was O
the O
proposal O
